Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
LANDB285,LANDB,CIMMYTMA-002899,Zea mays spp mays,TUXPEN,-10.283,-36.600,9
LANDB286,LANDB,CIMMYTMA-002978,Zea mays spp mays,CATETO,-3.812,-38.694,43
LANDB290,LANDB,CIMMYTMA-003877,Zea mays spp mays,CANILL,12.030,-61.749,71
LANDB296,LANDB,CIMMYTMA-003941,Zea mays spp mays,CHANDE,19.197,-70.021,65
LANDB299,LANDB,CIMMYTMA-003975,Zea mays spp mays,CHANDE,17.718,-64.707,31
LANDB314,LANDB,CIMMYTMA-004660,Zea mays spp mays,RGWHDT,-29.333,-54.167,274
LANDB316,LANDB,CIMMYTMA-004678,Zea mays spp mays,SDENRG,-28.033,-54.333,412
LANDB318,LANDB,CIMMYTMA-004781,Zea mays spp mays,PADENT,-21.533,-51.483,373
LANDB319,LANDB,CIMMYTMA-004811,Zea mays spp mays,PADENT,-23.400,-45.883,666
LANDB331,LANDB,CIMMYTMA-005057,Zea mays spp mays,CATETO,-23.183,-45.883,594
LANDB332,LANDB,CIMMYTMA-005084,Zea mays spp mays,PADENT,-12.651,-39.109,201
RMM_11,J2Teo,RMM_11,Zea mays ssp. parviglumis,Balsas,19.528,-104.064,1450
RMM_3,J2Teo,RMM_3,Zea mays ssp. parviglumis,Balsas,19.945,-103.995,984
LANTEO001,R2Teo,CIMMYTMA-008753,Zea mays ssp. mexicana,,19.029,-98.821,2338
LANTEO014,R2Teo,CIMMYTMA-008771,Zea mays ssp. mexicana,,20.150,-102.070,1855
LANTEO029,R2Teo,CIMMYTMA-008787,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO030,R2Teo,CIMMYTMA-008788,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO031,R2Teo,CIMMYTMA-008789,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO032,R2Teo,CIMMYTMA-008790,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO033,R2Teo,CIMMYTMA-008791,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO036,R2Teo,CIMMYTMA-008794,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO037,R2Teo,CIMMYTMA-008795,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO038,R2Teo,CIMMYTMA-008796,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO042,R2Teo,CIMMYTMA-008800,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO043,R2Teo,CIMMYTMA-008801,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO045,R2Teo,CIMMYTMA-008803,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO046,R2Teo,CIMMYTMA-008804,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO047,R2Teo,CIMMYTMA-008805,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO050,R2Teo,CIMMYTMA-008808,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO052,R2Teo,CIMMYTMA-008810,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO055,R2Teo,CIMMYTMA-008813,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO058,R2Teo,CIMMYTMA-008816,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO059,R2Teo,CIMMYTMA-008817,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO060,R2Teo,CIMMYTMA-008818,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO065,R2Teo,CIMMYTMA-008823,Zea mays ssp. parv_mex?,,19.530,-98.850,2276
LANTEO093,R2Teo,CIMMYTMA-013544,Zea mays ssp. mexicana,,20.740,-101.930,1726
LANTEO096,R2Teo,CIMMYTMA-013548,Zea mays ssp. mexicana,,20.175,-101.171,1810
LANTEO098,R2Teo,CIMMYTMA-013550,Zea mays ssp. mexicana,,20.085,-101.515,1900
LANTEO103,R2Teo,CIMMYTMA-013561,Zea mays ssp. mexicana,,19.130,-98.770,2484
LANTEO105,R2Teo,CIMMYTMA-013564,Zea mays ssp. mexicana,,19.250,-98.850,2255
LANTEO107,R2Teo,CIMMYTMA-013567,Zea mays ssp. parviglumis,,16.327,-97.042,1094
LANTEO110,R2Teo,CIMMYTMA-013570,Zea mays ssp. mexicana,,19.250,-98.850,2255
LANTEO112,R2Teo,CIMMYTMA-013573,Zea mays ssp. mexicana,,20.099,-101.936,1705
LANTEO115,R2Teo,CIMMYTMA-013576,Zea mays ssp. mexicana,,19.680,-100.500,2020
LANTEO122,R2Teo,CIMMYTMA-013584,Zea mays ssp. parviglumis,,19.184,-100.260,1353
LANTEO123,R2Teo,CIMMYTMA-013585,Zea mays ssp. parviglumis,,19.310,-100.440,1313
LANTEO124,R2Teo,CIMMYTMA-013586,Zea mays ssp. parviglumis,,19.415,-100.835,1570
LANTEO127,R2Teo,CIMMYTMA-014977,Zea mays ssp. mexicana,,19.280,-99.670,2694
LANTEO130,R2Teo,CIMMYTMA-016791,Zea mays ssp. mexicana,,19.070,-97.530,2455
LANTEO136,R2Teo,CIMMYTMA-029060,Zea mays ssp. mexicana,,19.551,-98.863,2267
LANTEO137,R2Teo,CIMMYTMA-029061,Zea mays ssp. mexicana,,19.494,-98.902,2247
LANTEO138,R2Teo,CIMMYTMA-029062,Zea mays ssp. mexicana,,19.491,-98.832,2428
LANTEO147,R2Teo,CIMMYTMA-029072,Zea mays ssp. mexicana,,19.380,-99.520,2580
LANTEO148,R2Teo,CIMMYTMA-029073,Zea mays ssp. mexicana,,19.390,-99.510,2580
LANTEO149,R2Teo,CIMMYTMA-029074,Zea mays ssp. mexicana,,19.160,-99.590,2623
LANTEO150,R2Teo,CIMMYTMA-029075,Zea mays ssp. mexicana,,19.150,-99.620,2713
LANTEO151,R2Teo,CIMMYTMA-029076,Zea mays ssp. mexicana,,19.330,-99.920,2833
LANTEO168,R2Teo,CIMMYTMA-029724,Zea mays ssp. parviglumis,,18.850,-100.800,606
LANTEO171,R2Teo,CIMMYTMA-029727,Zea mays ssp. parviglumis,,19.264,-100.458,1276
LANTEO174,R2Teo,CIMMYTMA-029730,Zea mays ssp. parviglumis,,19.690,-100.549,2053
LANTEO183,R2Teo,CIMMYTMA-029740,Zea mays ssp. parviglumis,,19.335,-101.918,1145
LANTEO185,R2Teo,CIMMYTMA-029742,Zea mays ssp. parviglumis,,19.880,-101.200,1848
LANTEO192,R2Teo,CIMMYTMA-029300,Zea nicaraguensis,,12.900,-86.926,175
LANTEO198,R2Teo,CIMMYTMA-029763,Zea mays ssp. parviglumis,,17.404,-99.467,1200
LANTEO201,R2Teo,CIMMYTMA-029766,Zea mays ssp. parviglumis,,18.633,-100.907,315
LANTEO202,R2Teo,CIMMYTMA-029767,Zea mays ssp. parviglumis,,18.633,-100.907,315
LANTEO203,R2Teo,CIMMYTMA-029768,Zea mays ssp. parviglumis,,20.200,-102.040,1859
LANTEO205,R2Teo,CIMMYTMA-029770,Zea mays ssp. parviglumis,,20.130,-102.090,1817
LANTEO207,R2Teo,CIMMYTMA-029772,Zea mays ssp. parviglumis,,20.099,-101.936,1705
LANTEO209,R2Teo,CIMMYTMA-029774,Zea mays ssp. parviglumis,,19.590,-103.960,704
LANTEO211,R2Teo,CIMMYTMA-029776,Zea mays ssp. parviglumis,,20.170,-102.030,1912
LANTEO213,R2Teo,CIMMYTMA-029778,Zea mays ssp. parviglumis,,20.549,-102.611,1620
LANTEO218,R2Teo,CIMMYTMA-029783,Zea mays ssp. parviglumis,,18.480,-99.780,1877
LANTEO220,R2Teo,CIMMYTMA-029785,Zea mays ssp. parviglumis,,19.226,-101.460,1535
LANTEO223,R2Teo,CIMMYTMA-029788,Zea mays ssp. parviglumis,,20.085,-101.515,1900
LANTEO224,R2Teo,CIMMYTMA-029789,Zea mays ssp. parviglumis,,20.850,-104.420,935
LANTEO226,R2Teo,CIMMYTMA-029791,Zea mays ssp. parviglumis,,20.550,-104.010,1236
LANTEO228,R2Teo,CIMMYTMA-029793,Zea mays ssp. parviglumis,,19.960,-104.050,1160
LANTEO236,R2Teo,ANNA2,Zea mays ssp. mexicana,,19.212,-99.127,2507
LANTEO237,R2Teo,ANNA3,Zea mays ssp. mexicana,,19.212,-98.809,2353
LANTEO238,R2Teo,ANNA5,Zea mays ssp. mexicana,,19.077,-98.843,2492
LANTEO239,R2Teo,ANNA8,Zea mays ssp. mexicana,,19.505,-98.923,2253
LANTEO241,R2Teo,ANNA11,Zea mays ssp. parv_mex?,,18.972,-99.037,1589
LANTEO255,R2Teo,JONAS_POP1,Zea mays ssp. parviglumis,,18.350,-99.841,1649
LANTEO264,R2Teo,JONAS_POP10,Zea mays ssp. mexicana,,19.407,-99.627,2581
LANTEO277,R2Teo,JONAS_POP23,Zea mays ssp. mexicana,,19.958,-102.516,1854
LANTEO279,R2Teo,JONAS_POP25,Zea mays ssp. mexicana,,20.053,-101.255,1849
LANTEO290,R2Teo,JONAS_POP36,Zea mays ssp. mexicana,,19.035,-97.442,2646
LANTEO292,R2Teo,JONAS_POP38,Zea mays ssp. mexicana,,19.159,-98.185,2306
LANTEO297,R2Teo,PI 384065,Zea mays ssp. parviglumis,,18.350,-99.850,1600
LANTEO298,R2Teo,PI 384066,Zea mays ssp. parviglumis,,18.350,-99.850,1700
LANTEO299,R2Teo,PI 384071,Zea mays ssp. parviglumis,,18.330,-100.320,1100
LANTEO300,R2Teo,Ames 21785,Zea mays ssp. parviglumis,,17.420,-99.500,1300
